id concurrent_type
93780 MEASUREMENT_EVENT
93851 MEASUREMENT_EVENT
93771 MEASUREMENT_EVENT
94204 MEASUREMENT_EVENT
93722 MEASUREMENT_EVENT
93779 MEASUREMENT_EVENT
93726 MEASUREMENT_EVENT
93742 Event
93778 MEASUREMENT_EVENT
93815 MEASUREMENT_EVENT
94203 MEASUREMENT_EVENT
93853 MEASUREMENT_EVENT
94202 MEASUREMENT_EVENT
93723 MEASUREMENT_EVENT
93740 MEASUREMENT_EVENT
93785 MEASUREMENT_EVENT
93822 MEASUREMENT_EVENT
94201 MEASUREMENT_EVENT
93747 MEASUREMENT_EVENT
93816 Event
93775 MEASUREMENT_EVENT
93831 MEASUREMENT_EVENT
93741 MEASUREMENT_EVENT
93784 MEASUREMENT_EVENT
93830 MEASUREMENT_EVENT
93854 MEASUREMENT_EVENT
93847 MEASUREMENT_EVENT
93846 MEASUREMENT_EVENT
94197 Event
93824 MEASUREMENT_EVENT
93820 MEASUREMENT_EVENT
93787 MEASUREMENT_EVENT
93720 MEASUREMENT_EVENT
93839 MEASUREMENT_EVENT
93849 MEASUREMENT_EVENT
93773 MEASUREMENT_EVENT
93845 MEASUREMENT_EVENT
93736 Event
94195 MEASUREMENT_EVENT
93791 MEASUREMENT_EVENT
94205 MEASUREMENT_EVENT
93844 MEASUREMENT_EVENT
93838 MEASUREMENT_EVENT
93837 MEASUREMENT_EVENT
93819 MEASUREMENT_EVENT
94224 MEASUREMENT_EVENT
93790 MEASUREMENT_EVENT
93776 MEASUREMENT_EVENT
93721 MEASUREMENT_EVENT
94196 MEASUREMENT_EVENT
93745 MEASUREMENT_EVENT
93850 MEASUREMENT_EVENT
93781 MEASUREMENT_EVENT
93772 MEASUREMENT_EVENT
93832 MEASUREMENT_EVENT
93823 MEASUREMENT_EVENT
93828 MEASUREMENT_EVENT
93826 MEASUREMENT_EVENT
93788 MEASUREMENT_EVENT
93786 MEASUREMENT_EVENT
93746 MEASUREMENT_EVENT
93724 MEASUREMENT_EVENT
94200 MEASUREMENT_EVENT
93827 MEASUREMENT_EVENT
94225 MEASUREMENT_EVENT
93841 MEASUREMENT_EVENT
93727 MEASUREMENT_EVENT
93728 MEASUREMENT_EVENT
93821 MEASUREMENT_EVENT
93735 MEASUREMENT_EVENT
93774 MEASUREMENT_EVENT
93825 MEASUREMENT_EVENT
93782 MEASUREMENT_EVENT
93848 MEASUREMENT_EVENT
93836 MEASUREMENT_EVENT
93829 MEASUREMENT_EVENT
93852 MEASUREMENT_EVENT
93783 MEASUREMENT_EVENT
93835 MEASUREMENT_EVENT
93739 MEASUREMENT_EVENT
93842 MEASUREMENT_EVENT
93725 MEASUREMENT_EVENT
93840 MEASUREMENT_EVENT
93833 MEASUREMENT_EVENT
93770 MEASUREMENT_EVENT
93777 MEASUREMENT_EVENT
90308 MEASUREMENT_EVENT
90302 MEASUREMENT_EVENT
89425 MEASUREMENT_EVENT
89429 MEASUREMENT_EVENT
89343 MEASUREMENT_EVENT
89432 MEASUREMENT_EVENT
90313 MEASUREMENT_EVENT
89427 MEASUREMENT_EVENT
89341 MEASUREMENT_EVENT
89439 MEASUREMENT_EVENT
89443 MEASUREMENT_EVENT
90311 MEASUREMENT_EVENT
90304 MEASUREMENT_EVENT
90315 MEASUREMENT_EVENT
90299 MEASUREMENT_EVENT
90314 MEASUREMENT_EVENT
89445 MEASUREMENT_EVENT
90303 MEASUREMENT_EVENT
89440 MEASUREMENT_EVENT
89426 MEASUREMENT_EVENT
89436 MEASUREMENT_EVENT
89424 MEASUREMENT_EVENT
89444 MEASUREMENT_EVENT
89431 MEASUREMENT_EVENT
89441 MEASUREMENT_EVENT
89345 MEASUREMENT_EVENT
89442 MEASUREMENT_EVENT
89438 MEASUREMENT_EVENT
89434 MEASUREMENT_EVENT
89342 MEASUREMENT_EVENT
90316 MEASUREMENT_EVENT
90309 MEASUREMENT_EVENT
89430 MEASUREMENT_EVENT
90317 MEASUREMENT_EVENT
90305 MEASUREMENT_EVENT
90307 MEASUREMENT_EVENT
90298 MEASUREMENT_EVENT
90297 MEASUREMENT_EVENT
89437 MEASUREMENT_EVENT
90300 MEASUREMENT_EVENT
89428 MEASUREMENT_EVENT
89433 MEASUREMENT_EVENT
89344 MEASUREMENT_EVENT
90306 MEASUREMENT_EVENT
90318 MEASUREMENT_EVENT
90301 MEASUREMENT_EVENT
90312 MEASUREMENT_EVENT
89435 MEASUREMENT_EVENT
90310 MEASUREMENT_EVENT
88162 MEASUREMENT_EVENT
88163 MEASUREMENT_EVENT
88713 MEASUREMENT_EVENT
88663 MEASUREMENT_EVENT
88024 MEASUREMENT_EVENT
88158 MEASUREMENT_EVENT
88170 MEASUREMENT_EVENT
88709 MEASUREMENT_EVENT
87856 MEASUREMENT_EVENT
88656 MEASUREMENT_EVENT
88023 MEASUREMENT_EVENT
88710 MEASUREMENT_EVENT
88719 MEASUREMENT_EVENT
88199 MEASUREMENT_EVENT
88166 MEASUREMENT_EVENT
87858 Event
88653 MEASUREMENT_EVENT
88649 MEASUREMENT_EVENT
88171 MEASUREMENT_EVENT
88712 MEASUREMENT_EVENT
88666 MEASUREMENT_EVENT
88664 MEASUREMENT_EVENT
88217 MEASUREMENT_EVENT
88215 MEASUREMENT_EVENT
87913 MEASUREMENT_EVENT
88022 MEASUREMENT_EVENT
88028 MEASUREMENT_EVENT
88185 MEASUREMENT_EVENT
88172 MEASUREMENT_EVENT
88714 MEASUREMENT_EVENT
88717 MEASUREMENT_EVENT
88628 MEASUREMENT_EVENT
88650 MEASUREMENT_EVENT
88194 MEASUREMENT_EVENT
88271 MEASUREMENT_EVENT
87801 MEASUREMENT_EVENT
88196 MEASUREMENT_EVENT
88017 MEASUREMENT_EVENT
88654 MEASUREMENT_EVENT
